date,zone,population,temperature,rainfall,industrial_index,water_demand,month,day,dayofweek,year,water_demand_lag_1,water_demand_lag_7,water_demand_lag_14,temperature_lag_1,demand_roll_mean_7,demand_roll_std_7,month_sin,month_cos,dow_sin,dow_cos,day_sin,day_cos,zone_encoded,isolation_anomaly,residual,abs_residual,residual_anomaly,anomaly,anomaly_score,predicted,actual
2025-07-26,Central Delhi,32000000.0,31.466556588723872,9.990538653398136,68.64303807612797,4815938126.870002,8,1,4,2025,4816756669.842563,4819064435.287529,4817200611.826693,31.728600426144766,4818207792.045512,1517652.0848860936,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.20129852008866006,0.9795299412524945,0,False,287099.56292819977,287099.56292819977,False,False,0.11174761258904195,4817350284.741232,4817637384.30416
2025-07-27,Central Delhi,32000000.0,31.20451275130298,10.396856849700026,65.83454392521799,4815119583.897442,8,2,5,2025,4815938126.870002,4819547638.510166,4816774309.291571,31.466556588723872,4817575212.815123,1768254.9185740307,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0.39435585511331855,0.9189578116202306,0,False,149601.3680086136,149601.3680086136,False,False,0.05822926215738656,4817546834.297818,4817696435.665827
2025-07-28,Central Delhi,32000000.0,30.94246891388208,10.803175046001916,63.026049774308,4814301040.924881,8,3,6,2025,4815119583.897442,4820030841.732804,4817105239.179241,31.20451275130298,4816756669.842563,1768254.918567133,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0.5712682150947923,0.8207634412072763,0,False,314686.9807214737,314686.9807214737,False,False,0.1224854487753889,4817440800.054993,4817755487.035714
2025-07-29,Central Delhi,32000000.0,28.637379647364806,6.7392221020969085,69.112880734559,4816208229.421423,8,4,0,2025,4814301040.924881,4819212298.760243,4817436169.066912,30.94246891388208,4816327517.079874,1398917.5339208962,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.72479278722912,0.6889669190756866,0,False,385190.0183830261,385190.0183830261,False,False,0.14992730921780317,4817429348.378997,4817814538.39738
2025-07-30,Central Delhi,32000000.0,26.33229038084753,2.6752691581919006,75.19971169481,4818115417.917965,8,5,1,2025,4816208229.421423,4818393755.7876835,4817767098.954582,28.637379647364806,4816287754.527057,1332791.6307017514,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.8486442574947509,0.5289640103269624,0,False,251650.52451324463,251650.52451324463,False,False,0.09794980192348145,4817621939.232477,4817873589.75699
2025-07-31,Central Delhi,32000000.0,26.352619643714227,4.011050763031651,72.7618345860298,4817248412.669143,8,6,2,2025,4818115417.917965,4817575212.815123,4818098028.842253,26.33229038084753,4816241068.791917,1285046.0110174087,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0.9377521321470804,0.3473052528448203,0,False,53679.47843456268,53679.47843456268,False,False,0.0208936352912091,4817878961.642278,4817932641.120712
2025-08-01,Central Delhi,32000000.0,26.372948906580927,5.346832367871403,70.3239574772496,4816381407.4203205,8,7,3,2025,4817248412.669143,4816756669.842563,4818581232.064891,26.352619643714227,4816187459.874454,1267661.4017916857,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0.9884683243281114,0.1514277775045767,0,False,36366.61404514313,36366.61404514313,False,False,0.014154958147770482,4817955325.868333,4817991692.482378
2025-08-02,Central Delhi,32000000.0,27.811640509458094,9.22720396335826,70.63554288137098,4816547793.258993,8,8,4,2025,4816381407.4203205,4815938126.870002,4819064435.287529,26.372948906580927,4816274555.072881,1268619.1156366356,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.9987165071710528,-0.05064916883871264,0,False,107733.80117225647,107733.80117225647,False,False,0.041933171034304224,4817943010.034651,4818050743.835823
2025-08-03,Central Delhi,32000000.0,29.250332112335265,13.107575558845117,70.94712828549237,4816714179.097666,8,9,5,2025,4816547793.258993,4815119583.897442,4819547638.510166,27.811640509458094,4816502354.387198,1165649.3138477386,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0.9680771188662043,-0.2506525322587204,0,False,300600.58399391174,300600.58399391174,False,False,0.1170026079509993,4817809194.613495,4818109795.197489
2025-08-04,Central Delhi,32000000.0,30.689023715212432,16.987947154331977,71.25871368961374,4816880564.936339,8,10,6,2025,4816714179.097666,4814301040.924881,4820030841.732804,29.250332112335265,4816870857.817407,645384.7367896569,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0.8978045395707416,-0.4403941515576344,0,False,584549.2548313141,584549.2548313141,False,False,0.22752380046095405,4817584297.320766,4818168846.575598
2025-08-05,Central Delhi,32000000.0,32.1277153180896,20.868318749818833,71.57029909373513,4817046950.775012,8,11,0,2025,4816880564.936339,4816208229.421423,4819212298.760243,30.689023715212432,4816990675.153634,575987.2294647845,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.7907757369376989,-0.6121059825476626,0,False,445604.8396215439,445604.8396215439,False,False,0.1734425384628108,4817458999.454605,4817904604.294227
2025-08-06,Central Delhi,32000000.0,33.56640692096677,24.74869034530569,71.8818844978565,4817213336.613685,8,12,1,2025,4817046950.775012,4818115417.917965,4818393755.7876835,32.1277153180896,4816861806.39588,331373.27236218087,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.6513724827222223,-0.758758122692791,0,False,186938.28095436096,186938.28095436096,False,False,0.07276188923831182,4817453423.748344,4817640362.029299
2025-08-07,Central Delhi,32000000.0,32.70045092313831,12.860986960960966,78.59049553578447,4820125769.464588,8,13,2,2025,4817213336.613685,4817248412.669143,4817575212.815123,33.56640692096677,4817272857.366658,1289709.248449601,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0.48530196253108104,-0.8743466161445821,0,False,74579.44891643524,74579.44891643524,False,False,0.029028519861252117,4817301540.315454,4817376119.76437
2025-08-08,Central Delhi,32000000.0,31.83449492530985,0.9732835766162432,85.29910657371242,4823038202.315493,8,14,3,2025,4820125769.464588,4816381407.4203205,4816756669.842563,32.70045092313831,4818223828.0659685,2452692.47117696,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0.29936312297335804,-0.9541392564000488,0,False,-78425.62309741974,78425.62309741974,False,False,0.030525564224339913,4817190303.073213,4817111877.450115
2025-08-09,Central Delhi,32000000.0,32.451088489434795,3.975142141685575,80.96870467087395,4821416588.200109,8,15,4,2025,4823038202.315493,4816547793.258993,4815938126.870002,31.83449492530985,4818919370.200414,2584968.559563429,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.10116832198743272,-0.994869323391895,0,True,-195148.43665409088,195148.43665409088,False,True,0.0759575238435048,4817042783.638283,4816847635.201629
2025-08-10,Central Delhi,32000000.0,33.067682053559736,6.9770007067549065,76.63830276803546,4819794974.084724,8,16,5,2025,4821416588.200109,4816714179.097666,4815119583.897442,32.451088489434795,4819359483.769994,2402786.209360618,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,-0.10116832198743204,-0.9948693233918952,0,False,-231004.32163619995,231004.32163619995,False,False,0.08991369118542454,4816814397.274778,4816583392.953142
2025-08-11,Central Delhi,32000000.0,33.684275617684676,9.978859271824238,72.30790086519698,4818173359.96934,8,17,6,2025,4819794974.084724,4816880564.936339,4814301040.924881,33.067682053559736,4819544168.774707,2223487.5247856965,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,-0.2993631229733582,-0.9541392564000488,0,False,-256388.37409305573,256388.37409305573,False,False,0.09979391263528456,4816575539.078749,4816319150.704656
2025-08-12,Central Delhi,32000000.0,34.30086918180962,12.98071783689357,67.97749896235851,4816551745.853956,8,18,0,2025,4818173359.96934,4817046950.775012,4816208229.421423,33.684275617684676,4819473425.214557,2321883.046034142,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.4853019625310808,-0.8743466161445822,0,False,-327215.0392856598,327215.0392856598,False,False,0.12736173845219909,4816382123.495455,4816054908.456169
2025-08-13,Central Delhi,32000000.0,34.01531526376035,12.56854969422068,67.62228183482567,4816834890.1905365,8,19,1,2025,4816551745.853956,4817213336.613685,4818115417.917965,34.30086918180962,4819419361.439821,2386777.870678804,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-0.651372482722222,-0.7587581226927911,0,False,-481935.53615760803,481935.53615760803,False,False,0.18758351645732438,4816332151.708609,4815850216.172451
2025-08-14,Central Delhi,32000000.0,33.729761345711076,12.15638155154779,67.26706470729282,4817118034.527118,8,20,2,2025,4816834890.1905365,4820125769.464588,4817248412.669143,34.01531526376035,4818989685.020182,2506158.8173339334,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,-0.7907757369376986,-0.6121059825476627,0,False,189650.63250350952,189650.63250350952,False,False,0.07381761641193815,4816635079.836007,4816824730.468511
